Initialising login role...
Connecting to remote database...
Skipping migration .gitkeep... (file name must match pattern "<timestamp>_name.sql")

   Local            | Remote           | Time (UTC)
  ------------------|------------------|-----------------------
   `20260715120000` | `20260715120000` | `2026-07-15 12:00:00`
   `20260715130000` | `20260715130000` | `2026-07-15 12:00:00`
   `20260715140000` | `20260715140000` | `2026-07-15 12:00:00`
   `20260715150000` | `20260715150000` | `2026-07-15 12:00:00`
   `20260715160000` | `20260715160000` | `2026-07-15 12:00:00`
   `20260715170000` | `20260715170000` | `2026-07-15 12:00:00`
   `20260715180000` | `20260715180000` | `2026-07-15 12:00:00`
   `20260715180100` | `20260715180100` | `2026-07-15 12:00:00`
   `20260715190000` | `20260715190000` | `2026-07-15 12:00:00`
   `20260715200000` | `20260715200000` | `2026-07-15 12:00:00`
   `20260715210000` | `20260715210000` | `2026-07-15 12:00:00`
   `20260715220000` | `20260715220000` | `2026-07-15 12:00:00`
   `20260715230000` | `20260715230000` | `2026-07-15 12:00:00`
   `20260715240000` | `20260715240000` | `2026-07-15 12:00:00`
   `20260715240100` | `20260715240100` | `2026-07-15 12:00:00`
   `20260715240200` | `20260715240200` | `2026-07-15 12:00:00`
   `20260715250000` | `20260715250000` | `2026-07-15 12:00:00`
   `20260715250100` | `20260715250100` | `2026-07-15 12:00:00`
   `20260716010000` | `20260716010000` | `2026-07-15 12:00:00`
   `20260716010100` | `20260716010100` | `2026-07-15 12:00:00`
   `20260716010200` | `20260716010200` | `2026-07-15 12:00:00`
   `20260716010300` | `20260716010300` | `2026-07-15 12:00:00`
   `20260716100000` | `20260716100000` | `2026-07-15 12:00:00`
   `20260716100100` | `20260716100100` | `2026-07-15 12:00:00`
   `20260716100200` | `20260716100200` | `2026-07-15 12:00:00`
   `20260716100300` | `20260716100300` | `2026-07-15 12:00:00`
   `20260716110000` | `20260716110000` | `2026-07-15 12:00:00`
   `20260716110100` | `20260716110100` | `2026-07-15 12:00:00`
   `20260716120000` | `20260716120000` | `2026-07-15 12:00:00`
   `20260716120100` | `20260716120100` | `2026-07-15 12:00:00`
   `20260716130000` | `20260716130000` | `2026-07-15 12:00:00`
   `20260716130100` | `20260716130100` | `2026-07-15 12:00:00`
   `20260716140000` | `20260716140000` | `2026-07-15 12:00:00`
   `20260716150100` | `20260716150100` | `2026-07-15 12:00:00`
   `20260716150200` | `20260716150200` | `2026-07-15 12:00:00`
   `20260716150300` | `20260716150300` | `2026-07-15 12:00:00`
   `20260716150400` | `20260716150400` | `2026-07-15 12:00:00`
   `20260716150500` | `20260716150500` | `2026-07-15 12:00:00`
   `20260717120000` | `20260717120000` | `2026-07-15 12:00:00`
   `20260717140000` | `20260717140000` | `2026-07-15 12:00:00`
   `20260717160000` | `20260717160000` | `2026-07-15 12:00:00`
   `20260719120000` | `20260719120000` | `2026-07-15 12:00:00`
   `20260719150000` | `20260719150000` | `2026-07-15 12:00:00`
   `20260719150010` | `20260719150010` | `2026-07-15 12:00:00`
   `20260719150100` | `20260719150100` | `2026-07-15 12:00:00`
   `20260719150200` | `20260719150200` | `2026-07-15 12:00:00`
   `20260719150300` | `20260719150300` | `2026-07-15 12:00:00`
   `20260722170000` | `20260722170000` | `2026-07-15 12:00:00`
   `20260722180000` | `20260722180000` | `2026-07-15 12:00:00`
   `20260723120000` | `20260723120000` | `2026-07-15 12:00:00`
   `20260723120100` | `20260723120100` | `2026-07-15 12:00:00`
   `20260723120200` | `20260723120200` | `2026-07-15 12:00:00`
   `20260723120300` | `20260723120300` | `2026-07-15 12:00:00`
   `20260723120400` | `20260723120400` | `2026-07-15 12:00:00`
   `20260723130000` | `20260723130000` | `2026-07-15 12:00:00`
   `20260723130100` | `20260723130100` | `2026-07-15 12:00:00`
   `20260723130200` | `20260723130200` | `2026-07-15 12:00:00`
   `20260723130300` | `20260723130300` | `2026-07-15 12:00:00`
